"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","31285","add-wishlist","chromium","Tue Dec 10 20:57:04 WIB 2024","broken","Tue Dec 10 20:57:35 WIB 2024","","wishlist\wishlist.spec.ts","",""
"","28911","result-sorting-women-rimless","chromium","Tue Dec 10 20:56:37 WIB 2024","passed","Tue Dec 10 20:57:06 WIB 2024","","sorting\sorting-multi-category.spec.ts","",""
"","27220","login-email-invalid","chromium","Tue Dec 10 20:56:07 WIB 2024","failed","Tue Dec 10 20:56:34 WIB 2024","","login\login-invalid.spec.ts","",""
"","30613","result-sorting-women-rimless","firefox","Tue Dec 10 20:57:57 WIB 2024","broken","Tue Dec 10 20:58:28 WIB 2024","","sorting\sorting-multi-category.spec.ts","",""
"","21933","result-sorting-extra-small","chromium","Tue Dec 10 20:56:39 WIB 2024","failed","Tue Dec 10 20:57:01 WIB 2024","","sorting\sorting-one-category.spec.ts","",""
"","31996","add-wishlist","firefox","Tue Dec 10 20:58:33 WIB 2024","broken","Tue Dec 10 20:59:05 WIB 2024","","wishlist\wishlist.spec.ts","",""
"","15457","login-email-invalid","firefox","Tue Dec 10 20:57:37 WIB 2024","failed","Tue Dec 10 20:57:52 WIB 2024","","login\login-invalid.spec.ts","",""
"","29139","remove-wishlist","firefox","Tue Dec 10 20:58:47 WIB 2024","passed","Tue Dec 10 20:59:16 WIB 2024","","wishlist\wishlist.spec.ts","",""
"","30648","remove-wishlist","chromium","Tue Dec 10 20:57:06 WIB 2024","broken","Tue Dec 10 20:57:37 WIB 2024","","wishlist\wishlist.spec.ts","",""
"","30310","login-valid","chromium","Tue Dec 10 20:56:07 WIB 2024","broken","Tue Dec 10 20:56:37 WIB 2024","","login\login-valid.spec.ts","",""
"","30240","login-valid","firefox","Tue Dec 10 20:57:39 WIB 2024","broken","Tue Dec 10 20:58:09 WIB 2024","","login\login-valid.spec.ts","",""
"","28290","result-sorting-extra-small","firefox","Tue Dec 10 20:58:14 WIB 2024","failed","Tue Dec 10 20:58:42 WIB 2024","","sorting\sorting-one-category.spec.ts","",""
